A42|Modern defence|Averbakh system, Randspringer variation|d4 d6 c4 g6 Nc3 Bg7 e4 f5 
A42|Modern defence|Averbakh system, Kotov variation|d4 d6 c4 g6 Nc3 Bg7 e4 Nc6 
A43|Old Benoni defence||d4 c5 
A43|Old Benoni|Franco-Benoni defence|d4 c5 d5 e6 e4 
A43|Old Benoni|Mujannah formation|d4 c5 d5 f5 
A43|Old Benoni defence||d4 c5 d5 Nf6 
A43|Woozle defence||d4 c5 d5 Nf6 Nc3 Qa5 
A43|Old Benoni defence||d4 c5 d5 Nf6 Nf3 
A43|Hawk (Habichd) defence||d4 c5 d5 Nf6 Nf3 c4 
A43|Old Benoni defence||d4 c5 d5 d6 
A43|Old Benoni|Schmid's system|d4 c5 d5 d6 Nc3 g6 
A44|Old Benoni defence||d4 c5 d5 e5 
A44|Semi-Benoni (`blockade variation')||d4 c5 d5 e5 e4 d6 
A45|Queen's pawn game||d4 Nf6 
A45|Queen's pawn|Bronstein gambit|d4 Nf6 g4 
A45|Canard opening||d4 Nf6 f4 
A45|Paleface attack||d4 Nf6 f3 
A45|Blackmar-Diemer gambit||d4 Nf6 f3 d5 e4 
A45|Gedult attack||d4 Nf6 f3 d5 g4 
A45|Trompovsky attack (Ruth, Opovcensky opening)||d4 Nf6 Bg5 
A46|Queen's pawn game||d4 Nf6 Nf3 
A46|Queen's pawn|Torre attack|d4 Nf6 Nf3 e6 Bg5 
A46|Queen's pawn|Torre attack, Wagner gambit|d4 Nf6 Nf3 e6 Bg5 c5 e4 
A46|Queen's pawn|Yusupov-Rubinstein system|d4 Nf6 Nf3 e6 e3 
A46|Doery defence||d4 Nf6 Nf3 Ne4 
A47|Queen's Indian defence||d4 Nf6 Nf3 b6 
A47|Queen's Indian|Marienbad system|d4 Nf6 Nf3 b6 g3 Bb7 Bg2 c5 
A47|Queen's Indian|Marienbad system, Berg variation|d4 Nf6 Nf3 b6 g3 Bb7 Bg2 c5 c4 cxd4 Qxd4 
A48|King's Indian|East Indian defence|d4 Nf6 Nf3 g6 
